iter	Passed	Remaining
401	24469	36399
402	24523	36328
403	24575	36254
404	24625	36178
405	24684	36114
406	24738	36043
407	24789	35969
408	24842	35896
409	24899	35830
410	24952	35759
411	25008	35691
412	25061	35619
413	25120	35556
414	25187	35505
415	25240	35434
416	25294	35363
417	25350	35296
418	25403	35225
419	25463	35163
420	25515	35091
421	25568	35020
422	25623	34952
423	25677	34883
424	25727	34807
425	25777	34732
426	25830	34662
427	25891	34602
428	25943	34530
429	26001	34467
430	26054	34396
431	26109	34329
432	26158	34253
433	26207	34178
434	26259	34106
435	26311	34036
436	26367	33969
437	26424	33905
438	26474	33831
439	26539	33777
440	26603	33721
441	26653	33648
442	26706	33578
443	26765	33516
444	26813	33442
445	26865	33370
446	26932	33318
447	26996	33263
448	27047	33191
449	27113	33138
450	27178	33084
451	27225	33008
452	27275	32935
453	27336	32876
454	27385	32802
455	27444	32741
456	27500	32675
457	27554	32608
458	27609	32541
459	27663	32474
460	27718	32408
461	27770	32339
462	27827	32274
463	27879	32205
464	27951	32159
465	28005	32092
466	28074	32042
467	28151	32000
468	28214	31944
469	28267	31875
470	28321	31809
471	28373	31739
472	28431	31677
473	28482	31606
474	28533	31537
475	28597	31481
476	28650	31413
477	28727	31371
478	28786	31311
479	28856	31260
480	28924	31209
481	28979	31143
482	29034	31078
483	29090	31014
484	29145	30948
485	29212	30895
486	29264	30826
487	29320	30763
488	29374	30696
489	29447	30649
490	29499	30580
491	29551	30512
492	29608	30449
493	29663	30383
494	29727	30328
495	29786	30266
496	29840	30200
497	29893	30133
498	29947	30067
499	30034	30034
500	30089	29969
501	30143	29903
502	30201	29840
503	30266	29786
504	30325	29725
505	30387	29666
506	30442	29601
507	30494	29533
508	30547	29467
509	30603	29403
510	30656	29336
511	30711	29272
512	30768	29209
513	30822	29143
514	30875	29077
515	30931	29012
516	30989	28951
517	31051	28893
518	31103	28826
519	31163	28766
520	31216	28699
521	31269	28633
522	31322	28567
523	31375	28501
524	31429	28436
525	31500	28386
526	31550	28317
527	31612	28259
528	31675	28202
529	31734	28141
530	31785	28074
531	31837	28007
532	31892	27943
533	31945	27877
534	32001	27814
535	32069	27761
536	32121	27694
537	32172	27627
538	32225	27561
539	32276	27494
540	32339	27437
541	32393	27372
542	32446	27307
543	32505	27247
544	32556	27180
545	32611	27116
546	32664	27050
547	32734	26999
548	32787	26934
549	32844	26872
550	32899	26809
551	32955	26746
552	33005	26679
553	33060	26615
554	33118	26554
555	33202	26513
556	33254	26448
557	33314	26388
558	33383	26336
559	33436	26271
560	33489	26206
561	33543	26142
562	33597	26078
563	33652	26014
564	33705	25950
565	33774	25897
566	33829	25834
567	33886	25773
568	33942	25710
569	33996	25646
570	34049	25582
571	34104	25518
572	34155	25452
573	34228	25403
574	34282	25339
575	34337	25275
576	34389	25211
577	34444	25148
578	34497	25084
579	34554	25022
580	34608	24958
581	34662	24894
582	34716	24831
583	34767	24766
584	34824	24704
585	34878	24641
586	34934	24579
587	34990	24517
588	35042	24452
589	35100	24392
590	35151	24326
591	35210	24266
592	35264	24203
593	35315	24138
594	35367	24073
595	35427	24014
596	35487	23955
597	35558	23904
598	35628	23851
599	35704	23802
600	35765	23744
601	35836	23692
602	35904	23638
603	35957	23574
604	36024	23519
605	36079	23457
606	36128	23391
607	36189	23332
608	36243	23269
609	36298	23207
610	36352	23144
611	36408	23082
612	36461	23018
613	36516	22956
614	36572	22894
615	36626	22831
616	36685	22772
617	36736	22707
618	36804	22653
619	36859	22591
620	36953	22553
621	37015	22494
622	37084	22441
623	37138	22378
624	37191	22314
625	37251	22255
626	37318	22200
627	37371	22137
628	37422	22072
629	37478	22010
630	37530	21947
631	37586	21886
632	37653	21830
633	37724	21777
634	37793	21723
635	37848	21661
636	37905	21600
637	37987	21553
638	38040	21490
639	38103	21433
640	38172	21379
641	38254	21331
642	38320	21275
643	38377	21215
644	38446	21160
645	38502	21098
646	38558	21037
647	38627	20982
648	38694	20927
649	38751	20866
650	38820	20811
651	38873	20748
652	38924	20684
653	38983	20624
654	39052	20569
655	39106	20507
656	39177	20453
657	39229	20389
658	39283	20327
659	39336	20264
660	39404	20208
661	39461	20148
662	39516	20085
663	39569	20023
664	39632	19965
665	39695	19907
666	39762	19851
667	39817	19789
668	39874	19728
669	39927	19665
670	39997	19611
671	40065	19555
672	40133	19500
673	40191	19439
674	40245	19377
675	40310	19320
676	40366	19259
677	40432	19202
678	40486	19140
679	40537	19076
680	40591	19014
681	40653	18955
682	40723	18901
683	40775	18837
684	40831	18776
685	40883	18713
686	40937	18651
687	40993	18589
688	41048	18528
689	41100	18465
690	41161	18406
691	41216	18344
692	41270	18282
693	41333	18224
694	41386	18162
695	41446	18102
696	41510	18045
697	41565	17983
698	41618	17921
699	41674	17860
700	41726	17797
701	41780	17736
702	41836	17674
703	41889	17612
704	41943	17550
705	42014	17496
706	42067	17433
707	42119	17371
708	42173	17309
709	42224	17246
710	42284	17187
711	42337	17125
712	42394	17064
713	42461	17008
714	42515	16946
715	42569	16885
716	42623	16823
717	42680	16762
718	42733	16701
719	42787	16639
720	42843	16578
721	42898	16517
722	42951	16455
723	43003	16393
724	43058	16332
725	43129	16277
726	43185	16216
727	43264	16164
728	43329	16107
729	43394	16050
730	43473	15997
731	43538	15940
732	43611	15885
733	43672	15826
734	43738	15769
735	43818	15717
736	43890	15662
737	43968	15609
738	44051	15558
739	44105	15496
740	44160	15435
741	44214	15373
742	44268	15312
743	44324	15251
744	44394	15195
745	44447	15133
746	44498	15071
747	44578	15018
748	44650	14963
749	44710	14903
750	44764	14842
751	44817	14780
752	44873	14719
753	44932	14659
754	44997	14601
755	45051	14540
756	45105	14479
757	45162	14418
758	45229	14361
759	45284	14300
760	45354	14244
761	45421	14186
762	45476	14125
763	45528	14063
764	45582	14002
765	45638	13941
766	45694	13881
767	45767	13825
768	45836	13768
769	45889	13707
770	45941	13645
771	45997	13584
772	46052	13523
773	46106	13462
774	46163	13402
775	46234	13345
776	46299	13288
777	46354	13227
778	46423	13170
779	46474	13108
780	46527	13046
781	46583	12986
782	46638	12925
783	46692	12864
784	46759	12806
785	46825	12748
786	46880	12688
787	46954	12632
788	47025	12575
789	47096	12519
790	47185	12467
791	47251	12409
792	47371	12365
793	47424	12304
794	47480	12243
795	47532	12181
796	47585	12120
797	47643	12060
798	47695	11998
799	47752	11938
800	47823	11881
801	47876	11819
802	47929	11758
803	47985	11697
804	48069	11644
805	48124	11583
806	48201	11527
807	48273	11470
808	48333	11411
809	48399	11353
810	48468	11295
811	48523	11234
812	48578	11173
813	48630	11112
814	48684	11051
815	48738	10990
816	48792	10929
817	48848	10868
818	48909	10809
819	48975	10750
820	49031	10690
821	49093	10630
822	49145	10569
823	49204	10509
824	49272	10451
825	49324	10390
826	49379	10329
827	49434	10269
828	49502	10211
829	49572	10153
830	49631	10093
831	49699	10035
832	49753	9974
833	49822	9916
834	49889	9858
835	49959	9800
836	50029	9742
837	50082	9681
838	50135	9620
839	50198	9561
840	50264	9503
841	50315	9441
842	50374	9381
843	50433	9321
844	50487	9260
845	50549	9201
846	50603	9140
847	50657	9080
848	50711	9019
849	50762	8958
850	50819	8897
851	50873	8837
852	50930	8777
853	50985	8716
854	51053	8658
855	51108	8597
856	51160	8536
857	51216	8476
858	51271	8415
859	51340	8357
860	51394	8297
861	51449	8236
862	51502	8176
863	51553	8114
864	51605	8054
865	51658	7993
866	51724	7934
867	51792	7876
868	51842	7815
869	51894	7754
870	51946	7693
871	52008	7634
872	52076	7575
873	52129	7515
874	52182	7454
875	52236	7394
876	52289	7333
877	52346	7273
878	52411	7214
879	52465	7154
880	52515	7093
881	52575	7033
882	52628	6973
883	52685	6913
884	52737	6852
885	52790	6792
886	52841	6731
887	52900	6672
888	52948	6611
889	53000	6550
890	53054	6490
891	53114	6430
892	53165	6370
893	53227	6311
894	53292	6252
895	53358	6193
896	53425	6134
897	53488	6075
898	53539	6015
899	53590	5954
900	53654	5895
901	53719	5836
902	53772	5776
903	53837	5717
904	53892	5657
905	53946	5597
906	54009	5537
907	54074	5478
908	54142	5420
909	54196	5360
910	54250	5299
911	54303	5239
912	54355	5179
913	54406	5119
914	54461	5059
915	54522	4999
916	54592	4941
917	54671	4883
918	54742	4825
919	54813	4766
920	54864	4706
921	54921	4646
922	54974	4586
923	55029	4526
924	55083	4466
925	55137	4406
926	55188	4346
927	55250	4286
928	55331	4228
929	55383	4168
930	55436	4108
931	55489	4048
932	55543	3988
933	55609	3929
934	55662	3869
935	55728	3810
936	55781	3750
937	55846	3691
938	55899	3631
939	55955	3571
940	56007	3511
941	56060	3451
942	56113	3391
943	56171	3332
944	56225	3272
945	56292	3213
946	56364	3154
947	56438	3095
948	56500	3036
949	56556	2976
950	56631	2917
951	56696	2858
952	56753	2798
953	56806	2739
954	56861	2679
955	56917	2619
956	56996	2560
957	57067	2501
958	57128	2442
959	57188	2382
960	57243	2323
961	57309	2263
962	57361	2203
963	57428	2144
964	57478	2084
965	57528	2024
966	57582	1965
967	57645	1905
968	57698	1845
969	57754	1786
970	57807	1726
971	57867	1666
972	57919	1607
973	57974	1547
974	58026	1487
975	58083	1428
976	58134	1368
977	58193	1309
978	58278	1250
979	58346	1190
980	58398	1131
981	58454	1071
982	58505	1011
983	58567	952
984	58638	892
985	58704	833
986	58765	774
987	58830	714
988	58913	655
989	58970	595
990	59038	536
991	59093	476
992	59148	416
993	59200	357
994	59267	297
995	59320	238
996	59388	178
997	59468	119
998	59536	59
999	59597	0
